"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"2441",0.27,0.64,6224.72315504018,96535.9049709113,711160.262644105,813920.890770056,1228538.75199412,963298.376240394,547296.083963123,2728971.20021001
"2442",0.27,0.65,6222.39688298652,95763.2216507362,716845.934322429,818831.552856152,1226138.44587229,953877.36260795,550684.508395939,2720391.78842393
"2443",0.27,0.66,6220.05866770044,94991.3130877665,722521.453118818,823732.824874285,1223706.87583517,944462.831635202,554032.978739766,2711752.49626798
"2444",0.27,0.67,6217.70847586055,94220.188109846,728186.818374859,828624.714960565,1221244.28131903,935055.705926781,557341.268288458,2703054.26025348
"2445",0.27,0.68,6215.34627467098,93449.8555933744,733842.030211267,833507.232079312,1218750.90757798,925656.906238838,560609.158681479,2694298.02739124
"2446",0.27,0.69,6212.97203187559,92680.3244627296,739487.089543763,838380.386038368,1216227.00560776,916267.351161145,563836.439981625,2685484.75487897
"2447",0.27,0.7,6210.58571577244,91911.6036896657,745121.998099191,843244.187504629,1213672.83206677,906887.956799897,567022.910748758,2676615.40978386
"2448",0.27,0.71,6208.1872952284,91143.7022926838,750746.758431878,848098.64801979,1211088.64919439,897519.636461471,570168.378109441,2667690.96872072
"2449",0.27,0.72,6205.77673969389,90376.6293363804,756361.37394026,852943.780016334,1208474.72472676,888163.300337328,573272.657822469,2658712.41752584
"2450",0.27,0.73,6203.35401921795,89610.3939307677,761965.848883728,857779.596833714,1205831.33180992,878819.855190314,576335.5743402,2649680.75092674
"2451",0.28,0,6305.38619925573,147163.332979948,333098.277902748,486566.997081951,1378112.96919491,1651289.08003125,283758.550561466,3305855.49741717
"2452",0.28,0.01,6303.72668845726,146356.828342758,339400.080990667,492060.636021883,1375333.23105927,1639521.54843797,288691.447437864,3295926.99061549
"2453",0.28,0.02,6302.0578549415,145550.647910417,345692.806677658,497545.512443017,1372520.37416785,1627740.00036708,293588.807698644,3285921.44545592
"2454",0.28,0.03,6300.37965293298,144744.797064726,351976.428160364,503021.604878023,1369907.92524997,1615945.43496428,298450.253027475,3275839.72792564
"2455",0.28,0.04,6298.69203661618,143939.281239544,358250.918797138,508488.892073298,1367682.50143444,1604138.85658699,303275.410804934,3265682.71909038
"2456",0.28,0.05,6296.99496014002,143134.105921033,364516.252113293,513947.352994467,1365421.91526441,1592321.27451342,308189.032134579,3255451.31486713
"2457",0.28,0.06,6295.28837762255,142329.27664791,370772.401806452,519396.966831984,1363126.2926717,1580493.70264767,313093.745928194,3246032.31568424
"2458",0.28,0.07,6293.57224315564,141524.799011686,377019.341751999,524837.713006841,1360795.76614975,1568657.15922109,317965.753997334,3237227.76415972
"2459",0.28,0.08,6291.84651080986,140720.678656908,383257.046008642,530269.57117636,1358430.47474196,1556812.66648999,322804.644217506,3228341.45703778
"2460",0.28,0.09,6290.11113463947,139916.921281393,389485.488824079,535692.521240111,1356030.56402723,1544961.25042995,327610.009403064,3219374.12825925
"2461",0.28,0.1,6288.36606868747,139113.53263645,395704.644640775,541106.543345912,1353596.18610244,1533103.94042679,332381.447452296,3210326.52825924
"2462",0.28,0.11,6286.61126699082,138310.518527109,401914.488101852,546511.617895952,1351127.49956202,1521241.7689645,337118.561491189,3201199.42379274
"2463",0.28,0.12,6284.84668358574,137507.884812337,408114.994057094,551907.725553017,1348624.66947444,1509375.77131029,341820.960015767,3191993.5977521
"2464",0.28,0.13,6283.07227251318,136705.637405249,414306.137569057,557294.847246819,1346087.86735584,1497506.98519686,346488.257032895,3182709.84897648
"2465",0.28,0.14,6281.28798782432,135903.782273311,420487.893919314,562672.964180449,1343517.27114055,1486232.74943942,351120.07219946,3173348.99205319
"2466",0.28,0.15,6279.49378358634,135102.325438545,426660.238614796,568042.057836928,1340913.06514877,1475084.48688865,355716.030959814,3163911.85711121
"2467",0.28,0.16,6277.68961388814,134301.272977718,432823.147394282,573402.109985888,1338275.44005112,1463925.01005881,360275.764681393,3154399.2896068
"2468",0.28,0.17,6275.8754328463,133500.631022529,438976.596234976,578753.102690351,1335604.59283037,1452755.30830314,364798.910788402,3144812.15010151
"2469",0.28,0.18,6274.05119461119,132700.405759788,445120.561359252,584095.018313651,1332900.7267401,1441576.3753109,369285.112893475,3135151.3140324
"2470",0.28,0.19,6272.21685337309,131900.603431591,451255.019241484,589427.839526448,1330164.05126046,1430389.20880516,373734.020927199,3125417.6714749
"2471",0.28,0.2,6270.37236336854,131101.230335483,457379.946615033,594751.549313885,1327394.78205106,1419194.81023709,378145.291265436,3115612.12689816
"2472",0.28,0.21,6268.5176788868,130302.292824615,463495.320479353,600066.130982855,1324593.14090082,1407994.18447695,382518.5868543,3105735.59891328
"2473",0.28,0.22,6266.65275427647,129503.797307895,469601.118107234,605371.568169406,1321759.35567504,1396788.33950194,386853.577332746,3095789.02001424
"2474",0.28,0.23,6264.77754395213,128705.75025013,475697.317052174,610667.844846257,1319269.10830389,1385578.28608113,391323.938382713,3085773.336312
"2475",0.28,0.24,6262.89200240127,127908.158172157,481783.895155897,615954.945330456,1316984.85145203,1374365.0374576,395772.113752178,3076420.11341163
"2476",0.28,0.25,6260.99608419133,127111.02765097,487860.830556001,621232.854291162,1314666.26808364,1363149.60902813,400185.076563155,3067719.13067609
"2477",0.28,0.26,6259.08974397673,126314.365319832,493928.101693757,626501.556757565,1312313.5217723,1351933.01802045,404562.453569994,3058941.76785499
"2478",0.28,0.27,6257.17293650625,125518.177868387,499985.687322039,631761.038126932,1309926.78265028,1340716.28316842,408903.877599494,3050088.82697187
"2479",0.28,0.28,6255.24561663047,124722.472042753,506033.566513413,637011.284172797,1307506.22737663,1329500.42438521,413208.987687918,3041161.12539418
"2480",0.28,0.29,6253.30773930927,123927.254645611,512071.718668366,642252.281053286,1305052.0391022,1318286.46243485,417477.429215853,3032159.4956126
"2481",0.28,0.3,6251.35925961962,123132.53253628,518100.12352368,647484.01531958,1302564.40743148,1307188.07610466,421708.854040809,3023084.78501251
"2482",0.28,0.31,6249.4001327635,122338.312630789,524118.761160976,652706.473924528,1300043.52838145,1296605.4343044,425902.920627464,3013937.85563792
"2483",0.28,0.32,6247.4303140758,121544.601901928,530127.612015391,657919.644231395,1297489.60433732,1286016.8960962,430059.294175442,3004719.58394796
"2484",0.28,0.33,6245.44975903261,120751.407379297,536126.656884424,663123.514022753,1294902.84400523,1275423.44542726,434177.646744537,2995430.86056593
"2485",0.28,0.34,6243.45842325953,119958.736149338,542115.876936949,668318.071509547,1292283.46236196,1264826.06883467,438257.657377277,2986072.59002121
"2486",0.28,0.35,6241.45626254015,119166.595355362,548095.253722362,673503.305340264,1289631.68060157,1254225.75512716,442299.012218743,2976645.69048409
"2487",0.28,0.36,6239.44323282472,118374.992197553,554064.769179921,678679.204610298,1286947.72607912,1243623.49506439,446301.404633533,2967151.09349367
"2488",0.28,0.37,6237.41929023892,117583.933932974,560024.405648236,683845.758871448,1284231.83225142,1233020.28103396,450264.535319797,2957589.74367901
"2489",0.28,0.38,6235.3843910929,116793.427875549,565974.145874931,689002.958141573,1281484.23861481,1222417.10672657,454188.112420248,2947962.5984737
"2490",0.28,0.39,6233.33849189034,116003.481396038,571913.97302648,694150.792914408,1278705.19064012,1211814.96680923,458071.85163004,2938270.62782396
"2491",0.28,0.4,6231.2815493378,115214.101921998,577843.870698207,699289.254169542,1275894.93970471,1201214.85659697,462111.787942189,2928514.81389061
"2492",0.28,0.41,6229.21352035414,114425.296937726,583763.822924473,704418.333382553,1273053.74302174,1190617.7717232,466135.257119728,2918884.02831399
"2493",0.28,0.42,6227.13436208021,113637.073984198,589673.814189032,709538.022535311,1270609.58567421,1180024.70780888,470121.532361041,2910341.24612556
"2494",0.28,0.43,6225.04403188857,112849.440658984,595573.829435572,714648.314126445,1268281.5158066,1169436.66013085,474070.284619455,2901727.54805205
"2495",0.28,0.44,6222.94248739353,112062.404616152,601463.85407844,719749.201181985,1265920.23087205,1158854.6232894,477981.191916066,2893043.78871431
"2496",0.28,0.45,6220.82968646121,111275.973566159,607343.874013546,724840.677266167,1263525.92968948,1148279.59087541,481853.939462909,2884290.83669046
"2497",0.28,0.46,6218.70558721994,110490.155275725,613213.875629456,729922.736492401,1261098.81746779,1137844.61997604,485688.21978319,2875469.57425563
"2498",0.28,0.47,6216.57014807066,109704.95756769,619073.845818685,734995.373534446,1258639.10575352,1127816.15804184,489483.732828468,2866580.89711479
"2499",0.28,0.48,6214.42332769766,108920.388320858,624923.771989175,740058.58363773,1256147.01237528,1117787.50820913,493240.186092704,2857625.71412862
"2500",0.28,0.49,6212.26508507929,108136.455469822,630763.64207596,745112.362630861,1253622.76138526,1107759.63841958,496957.294723076,2848604.94703283
"2501",0.28,0.5,6210.09537949912,107353.167004774,636593.444553043,750156.706937317,1251066.58299762,1097733.51719917,500634.781627482,2839519.53015089
"2502",0.28,0.51,6207.91417055702,106570.530971298,642413.168445473,755191.613587328,1248478.71352401,1087710.1133307,504272.377578627,2830370.41010054
"2503",0.28,0.52,6205.72141818059,105788.555470141,648222.80334161,760217.080229932,1245859.39530599,1077690.39552525,507869.82131463,2821158.54549406
"2504",0.28,0.53,6203.51708263664,105007.248656975,654022.339405603,765233.105145214,1243208.87664466,1067675.3320929,511426.85963605,2811884.90663267
"2505",0.28,0.54,6201.30112454302,104226.618742128,659811.767390097,770239.687256768,1240527.41172738,1057665.89061266,514943.247499269,2802550.47519517
"2506",0.28,0.55,6199.07350488042,103446.673990313,665591.078649101,775236.826144294,1237815.26055159,1047663.0376022,518418.748106143,2793156.24392098
"2507",0.28,0.56,6196.83418500453,102667.422720319,671360.265151127,780224.522056451,1235072.68884597,1037667.73818732,522007.003587538,2783703.2162879
"2508",0.28,0.57,6194.58312665835,101888.8733047,677119.319492497,785202.775923855,1232299.96798877,1027680.95577154,525642.678650218,2774192.40618472
"2509",0.28,0.58,6192.32029198457,101111.034169427,682868.234910899,790171.589372311,1229497.37492352,1017703.65170598,529239.713651828,2765116.47842497
"2510",0.28,0.59,6190.04564353826,100333.913793539,688607.005299146,795130.964736223,1226665.19207201,1007736.78495984,532797.826523488,2756719.8119388
"2511",0.28,0.6,6187.75914429973,99557.5207087527,694335.625219166,800080.905072218,1224150.72628532,997781.311791597,536316.74308097,2748258.47009186
