"","V1","V2","V3","V4","V5","V6"
"58",0,0.57,7555.14909620318,135507.811119196,737374.32378575,880437.284001149
"59",0,0.58,7554.72564092432,135244.159038967,739536.205635772,882335.090315663
"60",0,0.59,7554.30150950799,134980.544777548,741697.485677461,884232.331964518
"61",0,0.6,7553.87670128225,134716.968492623,743858.164363878,886129.009557783
"62",0,0.61,7553.45121557711,134453.430342222,746018.242154644,888025.123712443
"63",0,0.62,7553.02505172464,134189.930484723,748177.719515968,889920.675052415
"64",0,0.63,7552.59820905892,133926.469078852,750336.596920691,891815.664208602
"65",0,0.64,7552.17068691608,133663.04628368,752494.874848314,893710.09181891
"66",0,0.65,7551.74248463433,133399.662258631,754652.553785036,895603.958528301
"67",0,0.66,7551.31360155399,133136.317163469,756809.634223783,897497.264988807
"68",0,0.67,7550.88403701749,132873.011158308,758966.116664253,899390.011859579
"69",0,0.68,7550.45379036939,132609.744403607,761122.001612936,901282.199806912
"70",0,0.69,7550.02286095641,132346.517060168,763277.289583166,903173.82950429
"71",0,0.7,7549.59124812745,132083.329289142,765431.981095145,905064.901632414
"72",0,0.71,7549.15895123361,131820.18125202,767586.076675981,906955.416879234
"73",0,0.72,7548.7259696282,131557.07311064,769739.576859728,908845.375939996
"74",0,0.73,7548.29230266681,131294.005027183,771892.482187413,910734.779517262
"75",0,0.74,7547.85794970726,131030.977164173,774044.79320708,912623.62832096
"76",0,0.75,7547.42291010966,130767.989684475,776196.510473825,914511.92306841
"77",0,0.76,7546.98718323642,130505.042751299,778347.634549829,916399.664484364
"78",0,0.77,7546.5507684523,130242.136528193,780498.166004396,918286.853301042
"79",0,0.78,7546.11366512441,129979.27117905,782648.10541399,920173.490258164
"80",0,0.79,7545.6758726222,129716.4468681,784797.453362271,922059.576102993
"81",0,0.8,7545.23739031756,129453.663759915,786946.210440135,923945.111590368
"82",0,0.81,7544.79821758478,129190.922019406,789094.377245743,925830.097482734
"83",0,0.82,7544.35835380054,128928.221811823,791241.954384572,927714.534550195
"84",0,0.83,7543.91779834408,128665.563302753,793388.942469437,929598.423570534
"85",0,0.84,7543.47655059702,128402.946658124,795535.34212054,931481.765329261
"86",0,0.85,7543.03460994358,128140.372044197,797681.153965503,933364.560619644
"87",0,0.86,7542.59197577043,127877.839627572,799826.378639407,935246.810242749
"88",0,0.87,7542.14864746684,127615.349575184,801971.01678483,937128.515007481
"89",0,0.88,7541.70462442464,127352.902054304,804115.069051885,939009.675730614
"90",0,0.89,7541.25990603825,127090.497232538,806258.536098255,940890.293236831
"91",0,0.9,7540.81449170475,126828.135277825,808401.418589241,942770.368358771
"92",0,0.91,7540.36838082383,126565.816358436,810543.717197797,944649.901937056
"93",0,0.92,7539.92157279784,126303.540642978,812685.432604556,946528.894820331
"94",0,0.93,7539.47406703183,126041.308300387,814826.565497891,948407.347865309
"95",0,0.94,7539.02586293359,125779.119499931,816967.116573936,950285.2619368
"96",0,0.95,7538.57695991363,125516.974411209,819107.086536642,952162.637907765
"97",0,0.96,7538.12735738522,125254.873204151,821246.476097801,954039.476659337
"98",0,0.97,7537.67705476442,124992.816049013,823385.285977095,955915.779080872
"99",0,0.98,7537.22605147012,124730.803116381,825523.51690213,957791.54606998
"100",0,0.99,7536.77434692399,124468.834577168,827661.169608485,959666.778532578
"101",0,1,7536.32194055066,124206.910602616,829798.244839743,961541.47738291
"102",0.01,0,7563.26620706295,150577.499890994,615401.677208005,773542.443306062
"103",0.01,0.01,7562.87907991475,150311.93671991,617598.039954831,775472.855754655
"104",0.01,0.02,7562.49131582312,150046.403022308,619793.7851817,777402.679519831
"105",0.01,0.03,7562.10291403066,149780.898935992,621988.913023213,779331.914873236
"106",0.01,0.04,7561.713873781,149515.424599126,624183.423618844,781260.562091751
"107",0.01,0.05,7561.3241943188,149249.980150225,626377.317112967,783188.621457511
"108",0.01,0.06,7560.93387488977,148984.565728159,628570.593654882,785116.093257931
"109",0.01,0.07,7560.54291474071,148719.181472155,630763.25339884,787042.977785736
"110",0.01,0.08,7560.15131311946,148453.827521793,632955.296504075,788969.275338987
"111",0.01,0.09,7559.759069275,148188.504017008,635146.723134823,790894.986221106
"112",0.01,0.1,7559.36618245741,147923.211098092,637337.533460354,792820.110740904
"113",0.01,0.11,7558.97265191786,147657.94890569,639527.727655004,794744.649212612
"114",0.01,0.12,7558.57847690873,147392.717580804,641717.305898185,796668.601955898
"115",0.01,0.13,7558.18365668349,147127.517264789,643906.268374437,798591.969295909
"116",0.01,0.14,7557.78819049685,146862.348099358,646094.61527343,800514.751563284
"117",0.01,0.15,7557.39207760463,146597.210226578,648282.346790012,802436.949094194
"118",0.01,0.16,7556.99531726395,146332.103788871,650469.463124223,804358.562230358
"119",0.01,0.17,7556.59790873303,146067.028929016,652655.964481333,806279.591319082
"120",0.01,0.18,7556.19985127147,145801.985790146,654841.851071866,808200.036713283
"121",0.01,0.19,7555.80114414003,145536.974515749,657027.123111619,810119.898771509
"122",0.01,0.2,7555.40178660074,145271.995249672,659211.780821709,812039.177857982
"123",0.01,0.21,7555.00177791695,145007.048136112,661395.824428583,813957.874342613
"124",0.01,0.22,7554.60111735326,144742.133319626,663579.254164063,815875.988601042
"125",0.01,0.23,7554.19980417567,144477.250945125,665762.070265357,817793.521014658
"126",0.01,0.24,7553.79783765143,144212.401157875,667944.272975101,819710.471970627
"127",0.01,0.25,7553.3952170492,143947.584103497,670125.862541386,821626.841861932
"128",0.01,0.26,7552.99194163896,143682.799927969,672306.839217783,823542.63108739
"129",0.01,0.27,7552.58801069211,143418.048777622,674487.203263368,825457.840051683
"130",0.01,0.28,7552.18342348142,143153.330799145,676666.954942772,827372.469165399
"131",0.01,0.29,7551.77817928111,142888.646139581,678846.094526181,829286.518845043
"132",0.01,0.3,7551.37227736682,142623.994946326,681024.622289388,831199.98951308
"133",0.01,0.31,7550.96571701564,142359.377367135,683202.538513812,833112.881597962
"134",0.01,0.32,7550.55849750611,142094.793550114,685379.843486535,835025.195534155
"135",0.01,0.33,7550.15061811828,141830.243643728,687556.537500323,836936.931762169
"136",0.01,0.34,7549.74207813373,141565.727796793,689732.620853663,838848.09072859
"137",0.01,0.35,7549.33287683547,141301.246158482,691908.093850788,840758.672886106
"138",0.01,0.36,7548.92301350814,141036.798878321,694082.956801721,842668.678693551
"139",0.01,0.37,7548.51248743791,140772.386106192,696257.210022283,844578.108615913
"140",0.01,0.38,7548.1012979125,140508.007992331,698430.853834142,846486.963124386
"141",0.01,0.39,7547.68944422124,140243.664687326,700603.888564839,848395.242696387
"142",0.01,0.4,7547.27692565506,139979.356342122,702776.314547811,850302.947815588
